gouvernorat,delegation_code,localite_fr,localite_ar,code_postal,alias,nom_ambigu,a_verifier
Manouba,MAN-TEBOURBA,Ain Zammit,,1144,,,
Manouba,MAN-TEBOURBA,Argoub Erroumi,,1130,,,
Manouba,MAN-TEBOURBA,Bir Ezzitoun,,1130,,,
Manouba,MAN-TEBOURBA,Borj Ettoumi,,1143,,,
Manouba,MAN-TEBOURBA,Chouigui,,1133,,,
Manouba,MAN-TEBOURBA,Cité 7 Novembre,,1130,Cite 7 Novembre,oui,
Manouba,MAN-TEBOURBA,Cité Chebbi,,1130,Cite Chebbi,oui,
Manouba,MAN-TEBOURBA,Cité De France,,1130,Cite De France,,
Manouba,MAN-TEBOURBA,Cité De La Palestine,,1130,Cite De La Palestine,,
Manouba,MAN-TEBOURBA,Cité El Argoub,,1130,Cite El Argoub,,
Manouba,MAN-TEBOURBA,Cité El Bassatine,,1130,Cite El Bassatine,oui,
Manouba,MAN-TEBOURBA,Cité El Kef Lahmar,,1130,Cite El Kef Lahmar,,
Manouba,MAN-TEBOURBA,Cité El Kharrouba,,1130,Cite El Kharrouba,,
Manouba,MAN-TEBOURBA,Cité El Malja,,1130,Cite El Malja,,
Manouba,MAN-TEBOURBA,Cité El Malja Hamra,,1130,Cite El Malja Hamra,,
Manouba,MAN-TEBOURBA,Cité El Mandra,,1130,Cite El Mandra,,
Manouba,MAN-TEBOURBA,Cité El Mellassine,,1130,Cite El Mellassine,,
Manouba,MAN-TEBOURBA,Cité Ennajah,,1130,Cite Ennajah,,
Manouba,MAN-TEBOURBA,Cité Erraja,,1130,Cite Erraja,,
Manouba,MAN-TEBOURBA,Cité Errimel,,1130,Cite Errimel,,
Manouba,MAN-TEBOURBA,Cité Essaada,,1130,Cite Essaada,oui,
Manouba,MAN-TEBOURBA,Cité Essaada 2,,1130,Cite Essaada 2,oui,
Manouba,MAN-TEBOURBA,Cité Khelif Jalled,,1130,Cite Khelif Jalled,,
Manouba,MAN-TEBOURBA,Cité Laroussia,,1130,Cite Laroussia,,
Manouba,MAN-TEBOURBA,Cité Populaire,,1130,Cite Populaire,,
Manouba,MAN-TEBOURBA,Cité Route Chouigui,,1130,Cite Route Chouigui,,
Manouba,MAN-TEBOURBA,Cité Souyah,,1130,Cite Souyah,,
Manouba,MAN-TEBOURBA,Eddikhila,,1144,,,
Manouba,MAN-TEBOURBA,El Ansarine,,1144,,,
Manouba,MAN-TEBOURBA,El Aroussia,,1130,,,
Manouba,MAN-TEBOURBA,El Haouaria,,1144,,,
Manouba,MAN-TEBOURBA,El Mahfoura,,1143,,,
Manouba,MAN-TEBOURBA,El Mellaha,,1144,,,
Manouba,MAN-TEBOURBA,Gosset El Bey,,1144,,,
Manouba,MAN-TEBOURBA,Goumriane,,1130,,,
Manouba,MAN-TEBOURBA,Gueffaya,,1144,,,
Manouba,MAN-TEBOURBA,Sidi Abdelbasset,,1144,,,
Manouba,MAN-TEBOURBA,Tebourba,,1130,,,
Manouba,MAN-TEBOURBA,Toungar,,1143,,,
Manouba,MAN-TEBOURBA,Autre,أخرى,,,,
Manouba,MAN-VILLE,Den Den,,2011,Denden,,
Manouba,MAN-VILLE,La Manouba,,2010,La Mannouba,,
Manouba,MAN-VILLE,Autre,أخرى,,,,
Tunis,TUN-BABBHAR,Bab Bhar,,1000,,,
Tunis,TUN-BABBHAR,Bab El Jazira,,1000,,,
Tunis,TUN-BABBHAR,Habib Thameur,,1069,,,
Tunis,TUN-BABBHAR,Hedi Chaker,,1002,,,
Tunis,TUN-BABBHAR,Lafayette,,,,,ajouté hors La Poste
Tunis,TUN-BABBHAR,Montplaisir,,1073,,,
Tunis,TUN-BABBHAR,Republique,,1001,,,
Tunis,TUN-BABBHAR,Sidi Bahri,,1000,,,
Tunis,TUN-BABBHAR,Taieb El M'Hiri,,1002,,,
Tunis,TUN-BABBHAR,Autre,أخرى,,,,
Tunis,TUN-BABSOUIKA,Bab El Akoues,,1006,,,
Tunis,TUN-BABSOUIKA,Bab El Alouj,,1006,,,
Tunis,TUN-BABSOUIKA,Bab El Assel,,1006,,,
Tunis,TUN-BABSOUIKA,Bab El Khadra,,1075,,,
Tunis,TUN-BABSOUIKA,Bab Saadoun,,1029,,,
Tunis,TUN-BABSOUIKA,Bab Sidi Abdessalem,,1006,,,
Tunis,TUN-BABSOUIKA,Bab Souika,,1006,,,
Tunis,TUN-BABSOUIKA,Borj Zouara,,1006,,,
Tunis,TUN-BABSOUIKA,El Halfaouine,,1006,,,
Tunis,TUN-BABSOUIKA,Hammam El Remimi,,1006,,,
Tunis,TUN-BABSOUIKA,Sidi Djebeli,,1006,,,
Tunis,TUN-BABSOUIKA,Tronja,,1006,,,
Tunis,TUN-BABSOUIKA,Zaouiet El Bakria,,1006,,,
Tunis,TUN-BABSOUIKA,Autre,أخرى,,,,
Tunis,TUN-BARDO,Bortal Hayder,,2009,,,
Tunis,TUN-BARDO,Bouchoucha,,2000,,,
Tunis,TUN-BARDO,Cité Alten,,2000,Cite Alten,,
Tunis,TUN-BARDO,Cité Des Enseignants,,2017,Cite Des Enseignants,,
Tunis,TUN-BARDO,Cité Du Stade,,2000,Cite Du Stade,oui,
Tunis,TUN-BARDO,Cité Star,,2017,Cite Star,oui,
Tunis,TUN-BARDO,Khaznadar,,2017,,,
Tunis,TUN-BARDO,Ksar Said,,2009,,,
Tunis,TUN-BARDO,Le Bardo,,2000,,,
Tunis,TUN-BARDO,Autre,أخرى,,,,
Tunis,TUN-CARTHAGE,Amilcar,,1054,,,
Tunis,TUN-CARTHAGE,Carthage,,2016,,,
Tunis,TUN-CARTHAGE,Carthage Byrsa,,2016,Cartage Byrsa,,
Tunis,TUN-CARTHAGE,Carthage Plage,,2016,Cartage Plage,,
Tunis,TUN-CARTHAGE,Cité De La Steg,,2016,Cite De La Steg,,
Tunis,TUN-CARTHAGE,Cité Mohamed Ali,,2016,Cite Mohamed Ali,oui,
Tunis,TUN-CARTHAGE,El Yasmina,,2085,,,
Tunis,TUN-CARTHAGE,Les Jardins de Carthage,,,Jardins de Carthage,,ajouté hors La Poste
Tunis,TUN-CARTHAGE,Salambo,,2025,,,
Tunis,TUN-CARTHAGE,Sidi Bousaid,,2026,,,
Tunis,TUN-CARTHAGE,Autre,أخرى,,,,
Tunis,TUN-ELKHADRA,Centre Urbain Nord,,,CUN,,délégation à confirmer
Tunis,TUN-ELKHADRA,Cité El Khadra,,1003,Cite El Khadra,,
Tunis,TUN-ELKHADRA,Cité El Wafa,,1003,Cite El Wafa,oui,
Tunis,TUN-ELKHADRA,Cité Jardins,,1002,Cite Jardins,oui,
Tunis,TUN-ELKHADRA,Cité Olympeade,,1003,Cite Olympeade,,
Tunis,TUN-ELKHADRA,Cité Oplympique,,1003,Cite Oplympique,,
Tunis,TUN-ELKHADRA,Cité Star,,1003,Cite Star,oui,
Tunis,TUN-ELKHADRA,El Charguia,,2035,,,
Tunis,TUN-ELKHADRA,Kheireddine Pacha,,1002,,,
Tunis,TUN-ELKHADRA,Autre,أخرى,,,,
Tunis,TUN-GOULETTE,Casino La Goulette,,2060,,,
Tunis,TUN-GOULETTE,Cité El Mechtel,,2089,Cite El Mechtel,oui,
Tunis,TUN-GOULETTE,Cité Ennacim La Brise,,2060,Cite Ennacim La Brise,,
Tunis,TUN-GOULETTE,El Battah,,2060,,,
Tunis,TUN-GOULETTE,Kheireddine,,2060,,,
Tunis,TUN-GOULETTE,L'Aouina,,,Aouina|El Aouina,,délégation à confirmer
Tunis,TUN-GOULETTE,La Goulette,,2060,,,
Tunis,TUN-GOULETTE,La Goulette Nouvelle,,2060,,,
Tunis,TUN-GOULETTE,La Goulette Port,,1067,,,
Tunis,TUN-GOULETTE,Autre,أخرى,,,,
Tunis,TUN-HRAIRIA,Cité Bougatfa 1,,2051,Cite Bougatfa 1,,
Tunis,TUN-HRAIRIA,Cité Bouzaiene,,2052,Cite Bouzaiene,,
Tunis,TUN-HRAIRIA,Cité El Mechtel,,2087,Cite El Mechtel,oui,
Tunis,TUN-HRAIRIA,Cité Errachidia,,2051,Cite Errachidia,,
Tunis,TUN-HRAIRIA,Cité Essalama,,2051,Cite Essalama,oui,
Tunis,TUN-HRAIRIA,Cité Essoltani,,2051,Cite Essoltani,,
Tunis,TUN-HRAIRIA,Cité Hwas,,2087,Cite Hwas,,
Tunis,TUN-HRAIRIA,Cité Jlas,,2051,Cite Jlas,,
Tunis,TUN-HRAIRIA,Cité Medjerda,,2051,Cite Medjerda,,
Tunis,TUN-HRAIRIA,El Hrairia,,2087,,,
Tunis,TUN-HRAIRIA,Ezzahrouni,,2051,,,
Tunis,TUN-HRAIRIA,Ezzouhour 5,,2052,,,
Tunis,TUN-HRAIRIA,Autre,أخرى,,,,
Tunis,TUN-JEBELJELLOUD,Ali Bach-Hamba,,1046,,,
Tunis,TUN-JEBELJELLOUD,Cité Thameur,,2023,Cite Thameur,,
Tunis,TUN-JEBELJELLOUD,El Afrane,,2023,,,
Tunis,TUN-JEBELJELLOUD,El Garjouma,,1046,,,
Tunis,TUN-JEBELJELLOUD,El Sebkha,,1046,,,
Tunis,TUN-JEBELJELLOUD,Jebel Jelloud,,1046,,,
Tunis,TUN-JEBELJELLOUD,Sidi Fathallah,,2023,,,
Tunis,TUN-JEBELJELLOUD,Autre,أخرى,,,,
Tunis,TUN-KABARIA,Cité Bou Hjar,,2053,Cite Bou Hjar,,
Tunis,TUN-KABARIA,El Kabbaria 1,,2053,,,
Tunis,TUN-KABARIA,El Kabbaria 2,,2053,,,
Tunis,TUN-KABARIA,El Kabbaria 3,,2053,,,
Tunis,TUN-KABARIA,El Kabbaria 4,,2053,,,
Tunis,TUN-KABARIA,El Mourouj 2,,1074,,oui,
Tunis,TUN-KABARIA,El Ouerdia 4,,2053,,,
Tunis,TUN-KABARIA,Ibn Sina,,2066,,,
Tunis,TUN-KABARIA,Autre,أخرى,,,,
Tunis,TUN-KRAM,Bir El Hlou,,2089,,,
Tunis,TUN-KRAM,Erriadh,,2015,,,
Tunis,TUN-KRAM,Le Kram,,2015,,,
Tunis,TUN-KRAM,Le Kram Est,,2015,,,
Tunis,TUN-KRAM,Le Kram Ouest,,2089,,,
Tunis,TUN-KRAM,Sidi Amor,,2089,,,
Tunis,TUN-KRAM,Autre,أخرى,,,,
Tunis,TUN-MARSA,Ain Zaghouan Nord,,,Ain Zaghouan,,délégation à confirmer
Tunis,TUN-MARSA,Ain Zaghouan Sud,,,Ain Zaghouan,,délégation à confirmer
Tunis,TUN-MARSA,Cité Afh,,2078,Cite Afh,oui,
Tunis,TUN-MARSA,Cité Aziza,,2046,Cite Aziza,,
Tunis,TUN-MARSA,Cité Ben Chaabane,,2078,Cite Ben Chaabane,,
Tunis,TUN-MARSA,Cité Bhar Lazreg,,2046,Cite Bhar Lazreg,,
Tunis,TUN-MARSA,Cité Borj El Kouki,,2076,Cite Borj El Kouki,,
Tunis,TUN-MARSA,Cité De La Telediffusion 1,,2076,Cite De La Telediffusion 1,,
Tunis,TUN-MARSA,Cité De La Telediffusion 2,,2076,Cite De La Telediffusion 2,,
Tunis,TUN-MARSA,Cité Des Juges 2,,2076,Cite Des Juges 2,,
Tunis,TUN-MARSA,Cité Des Mimosas,,2076,Cite Des Mimosas,,
Tunis,TUN-MARSA,Cité Des Vergers,,2078,Cite Des Vergers,,
Tunis,TUN-MARSA,Cité Du Stade,,2078,Cite Du Stade,oui,
Tunis,TUN-MARSA,Cité El Ahmadi,,2078,Cite El Ahmadi,oui,
Tunis,TUN-MARSA,Cité El Fateh,,2076,Cite El Fateh,oui,
Tunis,TUN-MARSA,Cité El Hana,,2078,Cite El Hana,oui,
Tunis,TUN-MARSA,Cité El Khalil,,2076,Cite El Khalil,,
Tunis,TUN-MARSA,Cité El Mhiri,,2045,Cite El Mhiri,,
Tunis,TUN-MARSA,Cité El Moez,,2078,Cite El Moez,,
Tunis,TUN-MARSA,Cité El Moustakbel (La Marsa),,2078,Cite El Moustakbel (La Marsa),,
Tunis,TUN-MARSA,Cité El Moustakbel (Sidi Daoud),,2078,Cite El Moustakbel (Sidi Daoud),,
Tunis,TUN-MARSA,Cité El Ouns,,2076,Cite El Ouns,oui,
Tunis,TUN-MARSA,Cité Erriadh,,2076,Cite Erriadh,oui,
Tunis,TUN-MARSA,Cité Essalama,,2076,Cite Essalama,oui,
Tunis,TUN-MARSA,Cité Essirene,,2076,Cite Essirene,,
Tunis,TUN-MARSA,Cité Malhatli,,2078,Cite Malhatli,,
Tunis,TUN-MARSA,Cité Mongi Slim,,2046,Cite Mongi Slim,oui,
Tunis,TUN-MARSA,Cité Rimila 1,,2078,Cite Rimila 1,,
Tunis,TUN-MARSA,Cité Rimila 2,,2078,Cite Rimila 2,,
Tunis,TUN-MARSA,Cité Sprols,,2045,Cite Sprols,oui,
Tunis,TUN-MARSA,Gammart,,1057,,,
Tunis,TUN-MARSA,Lac 2,,,Les Berges du Lac 2,,délégation à confirmer
Tunis,TUN-MARSA,Les Berges du Lac,,1053,Berge Du Lac|Lac 1,,
Tunis,TUN-MARSA,Marsa Erriadh,,2076,,,
Tunis,TUN-MARSA,Marsa Safsaf,,2078,,,
Tunis,TUN-MARSA,Sidi Daoud,,2046,,,
Tunis,TUN-MARSA,Autre,أخرى,,,,
Tunis,TUN-MEDINA,Bab Bnet,,1019,,,
Tunis,TUN-MEDINA,Bab Djedid,,1008,,,
Tunis,TUN-MEDINA,Bab Menara,,1008,,,
Tunis,TUN-MEDINA,El Hafsia,,1059,,,
Tunis,TUN-MEDINA,El Medina,,1000,,,
Tunis,TUN-MEDINA,El Sabaghine,,1000,,,
Tunis,TUN-MEDINA,El Taoufik,,1006,,,
Tunis,TUN-MEDINA,El Zraria,,1008,,,
Tunis,TUN-MEDINA,Sidi Ali Azouz,,1008,,,
Tunis,TUN-MEDINA,Sidi Boumendil,,1000,,,
Tunis,TUN-MEDINA,Souk Nel Nhes,,1006,,,
Tunis,TUN-MEDINA,Tourbet El Bey,,1008,,,
Tunis,TUN-MEDINA,Autre,أخرى,,,,
Tunis,TUN-MENZAH,Cité Caravelles,,1082,Cite Caravelles,,
Tunis,TUN-MENZAH,Cité Des Medecins,,2092,Cite Des Medecins,,
Tunis,TUN-MENZAH,Cité Du Paradis,,2092,Cite Du Paradis,,
Tunis,TUN-MENZAH,Cité El Mahrajene,,1082,Cite El Mahrajene,,
Tunis,TUN-MENZAH,Cité Faiza,,2092,Cite Faiza,,
Tunis,TUN-MENZAH,Cité Saba,,2092,Cite Saba,,
Tunis,TUN-MENZAH,Cité Snit,,1082,Cite Snit,oui,
Tunis,TUN-MENZAH,El Manar 1,,,Manar 1,,ajouté hors La Poste
Tunis,TUN-MENZAH,El Manar 2,,2092,,,
Tunis,TUN-MENZAH,El Manar 3,,,Manar 3,,ajouté hors La Poste
Tunis,TUN-MENZAH,El Menzah 1,,1004,,,
Tunis,TUN-MENZAH,El Menzah 2,,1082,,,
Tunis,TUN-MENZAH,El Menzah 3,,1082,,,
Tunis,TUN-MENZAH,El Menzah 4,,1082,,,
Tunis,TUN-MENZAH,El Menzah 9,,1013,,,
Tunis,TUN-MENZAH,Mutuelleville,,1082,Mutuelle Ville,,
Tunis,TUN-MENZAH,Tunis Belvedere,,1002,,,
Tunis,TUN-MENZAH,Autre,أخرى,,,,
Tunis,TUN-OMRANE,Bab Saadoun Gare,,1029,,,
Tunis,TUN-OMRANE,Bir Atig,,1005,,,
Tunis,TUN-OMRANE,Cité Centrale,,1005,Cite Centrale,,
Tunis,TUN-OMRANE,Cité Des Oliviers,,1005,Cite Des Oliviers,,
Tunis,TUN-OMRANE,Cité El Habib,,1005,Cite El Habib,oui,
Tunis,TUN-OMRANE,Cité Militaire,,1005,Cite Militaire,oui,
Tunis,TUN-OMRANE,Djbal El Ahmar,,1005,,,
Tunis,TUN-OMRANE,El Omrane,,1005,,,
Tunis,TUN-OMRANE,Oued El Sebai,,1005,,,
Tunis,TUN-OMRANE,Ras Tabia,,2000,,,
Tunis,TUN-OMRANE,Autre,أخرى,,,,
Tunis,TUN-OMRANESUP,Cité El Intilaka,,1064,Cite El Intilaka,oui,
Tunis,TUN-OMRANESUP,Cité Ibn Khaldoun I,,2062,Cite Ibn Khaldoun I,,
Tunis,TUN-OMRANESUP,Cité Ibn Khaldoun Vi,,2062,Cite Ibn Khaldoun Vi,,
Tunis,TUN-OMRANESUP,Cité Olympique,,,Cite Olympique,,délégation à confirmer
Tunis,TUN-OMRANESUP,El Nassim,,1064,,,
Tunis,TUN-OMRANESUP,El Omrane Superieur,,1091,,,
Tunis,TUN-OMRANESUP,Rommana,,1068,,,
Tunis,TUN-OMRANESUP,Autre,أخرى,,,,
Tunis,TUN-OUARDIA,Bellevue,,1009,,,
Tunis,TUN-OUARDIA,Borj Ali Errais,,1009,,,
Tunis,TUN-OUARDIA,Cité El Izdihar,,1009,Cite El Izdihar,oui,
Tunis,TUN-OUARDIA,Cité Mohamed Ali,,1009,Cite Mohamed Ali,oui,
Tunis,TUN-OUARDIA,Dibouzville,,1009,,,
Tunis,TUN-OUARDIA,El Ouerdia,,1009,,,
Tunis,TUN-OUARDIA,Lakagnia,,1009,,,
Tunis,TUN-OUARDIA,Les Martyrs,,1009,,,
Tunis,TUN-OUARDIA,Mathul De Ville,,1009,,,
Tunis,TUN-OUARDIA,Monhomme,,1009,,,
Tunis,TUN-OUARDIA,Autre,أخرى,,,,
Tunis,TUN-SIDIBECHIR,Abou El Kacem Chebbi,,1089,,,
Tunis,TUN-SIDIBECHIR,Bab Alioua,,1089,,,
Tunis,TUN-SIDIBECHIR,Bab El Falla,,1027,,,
Tunis,TUN-SIDIBECHIR,El Gourjani,,1089,,,
Tunis,TUN-SIDIBECHIR,Essaida Mannoubia,,1089,,,
Tunis,TUN-SIDIBECHIR,Maakel EzzaÂ¤M,,1008,,,
Tunis,TUN-SIDIBECHIR,Monfleury,,1089,,,
Tunis,TUN-SIDIBECHIR,Saida Manoubia,,1089,,,
Tunis,TUN-SIDIBECHIR,Sidi El Bechir,,1089,,,
Tunis,TUN-SIDIBECHIR,Sidi Mansour,,1089,,,
Tunis,TUN-SIDIBECHIR,Autre,أخرى,,,,
Tunis,TUN-SIDIHASSINE,Birine,,1095,,,
Tunis,TUN-SIDIHASSINE,Borj Chakir,,1095,,,
Tunis,TUN-SIDIHASSINE,Cité 25 Juillet,,1095,Cite 25 Juillet,,
Tunis,TUN-SIDIHASSINE,Cité 7 Novembre,,1095,Cite 7 Novembre,oui,
Tunis,TUN-SIDIHASSINE,Cité El Bettoumi,,1095,Cite El Bettoumi,,
Tunis,TUN-SIDIHASSINE,Cité El Gaafouri,,1095,Cite El Gaafouri,,
Tunis,TUN-SIDIHASSINE,Cité El Mestiri,,1095,Cite El Mestiri,,
Tunis,TUN-SIDIHASSINE,Cité Mohamed Ali,,1095,Cite Mohamed Ali,oui,
Tunis,TUN-SIDIHASSINE,Cité Mrad 1,,1095,Cite Mrad 1,oui,
Tunis,TUN-SIDIHASSINE,Cité Mrad 2,,1095,Cite Mrad 2,oui,
Tunis,TUN-SIDIHASSINE,Jayara,,1095,,,
Tunis,TUN-SIDIHASSINE,Sidi Hassine,,1095,,,
Tunis,TUN-SIDIHASSINE,Autre,أخرى,,,,
Tunis,TUN-SIJOUMI,Cité Helal,,2072,Cite Helal,,
Tunis,TUN-SIJOUMI,El Mellassine,,1007,,,
Tunis,TUN-SIJOUMI,Autre,أخرى,,,,
Tunis,TUN-TAHRIR,Cité Du Jardin,,2042,Cite Du Jardin,oui,
Tunis,TUN-TAHRIR,Cité El Ferdaous,,2042,Cite El Ferdaous,,
Tunis,TUN-TAHRIR,Cité Essadik,,2042,Cite Essadik,,
Tunis,TUN-TAHRIR,Cité Ettahrir Sup.,,2042,Cite Ettahrir Sup.,,
Tunis,TUN-TAHRIR,Ettahrir 1,,2042,,,
Tunis,TUN-TAHRIR,Ettahrir 2,,2042,,,
Tunis,TUN-TAHRIR,Ettahrir 3,,2042,,,
Tunis,TUN-TAHRIR,Autre,أخرى,,,,
Tunis,TUN-ZOUHOUR,Cité Des Officiers,,2052,Cite Des Officiers,,
Tunis,TUN-ZOUHOUR,Cité Essaada,,2052,Cite Essaada,oui,
Tunis,TUN-ZOUHOUR,Cité Essomrane,,2052,Cite Essomrane,,
Tunis,TUN-ZOUHOUR,Cité Ezzouhour,,2052,Cite Ezzouhour,,
Tunis,TUN-ZOUHOUR,Ezzouhour 4,,2052,,,
Tunis,TUN-ZOUHOUR,Autre,أخرى,,,,
